,Unnamed: 0,real,img,nr_result_x,nr_result_y,tag,color,x,y
268,268,-2.878787878787879,1.121212121212121,-3.2367,-3.3422,3,"(67, 147, 195)",2,68
269,269,-2.878787878787879,1.1818181818181817,-3.2367,3.3422,1,"(253, 219, 199)",2,69
270,270,-2.878787878787879,1.2424242424242422,-3.2367,3.3422,1,"(253, 219, 199)",2,70
271,271,-2.878787878787879,1.3030303030303028,-3.2367,3.3422,1,"(253, 219, 199)",2,71
272,272,-2.878787878787879,1.363636363636363,-3.2367,3.3422,1,"(253, 219, 199)",2,72
273,273,-2.878787878787879,1.4242424242424248,-3.2367,3.3422,1,"(253, 219, 199)",2,73
274,274,-2.878787878787879,1.4848484848484853,-3.2367,3.3422,1,"(253, 219, 199)",2,74
275,275,-2.878787878787879,1.545454545454546,-3.2367,3.3422,1,"(253, 219, 199)",2,75
276,276,-2.878787878787879,1.6060606060606064,-3.2367,3.3422,1,"(253, 219, 199)",2,76
277,277,-2.878787878787879,1.666666666666667,-3.2367,3.3422,1,"(253, 219, 199)",2,77
